#     ts mosi  r/w cmd      reg   data              comment
#        miso      cmd            data
[0.0000] 0x2E00 R 0x17 WWDSCMD    0x00              # Window watchdog service command
         0x8001   0x00            0x00 00000000b

[0.0000] 0xAE02 W 0x17 WWDSCMD    0x01              # Window watchdog service command
         0xAE02   0x17            0x01 00000001b

[0.0000] 0xB1D2 W 0x18 FWDRSP     0xE9              # Functional watchdog response command
         0xB1D2   0x18            0xE9 11101001b

[0.0000] 0xB032 W 0x18 FWDRSP     0x19              # Functional watchdog response command
         0xB032   0x18            0x19 00011001b

[0.0001] 0xB1CC W 0x18 FWDRSP     0xE6              # Functional watchdog response command
         0xB1CC   0x18            0xE6 11100110b

[0.0001] 0xB22D W 0x19 FWDRSPSYNC 0x16              # Functional watchdog response command with synchronization
         0xB22D   0x19            0x16 00010110b

[0.1000] 0x2E00 R 0x17 WWDSCMD    0x00              # Window watchdog service command
         0x8103   0x00            0x81 10000001b

[0.1000] 0xAE01 W 0x17 WWDSCMD    0x00              # Window watchdog service command
         0xAE01   0x17            0x00 00000000b

[0.1000] 0x5401 R 0x2A FWDSTAT0   0x00              # Functional watchdog status 0
         0x80EA   0x00            0x75 01110101b

[0.2002] 0x2E00 R 0x17 WWDSCMD    0x00              # Window watchdog service command
         0x8001   0x00            0x00 00000000b

[0.2002] 0xAE02 W 0x17 WWDSCMD    0x01              # Window watchdog service command
         0xAE02   0x17            0x01 00000001b

[0.2002] 0xB075 W 0x18 FWDRSP     0x3A              # Functional watchdog response command
         0xB075   0x18            0x3A 00111010b

[0.2003] 0xB195 W 0x18 FWDRSP     0xCA              # Functional watchdog response command
         0xB195   0x18            0xCA 11001010b

[0.2003] 0xB06B W 0x18 FWDRSP     0x35              # Functional watchdog response command
         0xB06B   0x18            0x35 00110101b

[0.2003] 0xB38A W 0x19 FWDRSPSYNC 0xC5              # Functional watchdog response command with synchronization
         0xB38A   0x19            0xC5 11000101b

[0.3000] 0x2E00 R 0x17 WWDSCMD    0x00              # Window watchdog service command
         0x8103   0x00            0x81 10000001b

[0.3000] 0xAE01 W 0x17 WWDSCMD    0x00              # Window watchdog service command
         0xAE01   0x17            0x00 00000000b

[0.3000] 0x5401 R 0x2A FWDSTAT0   0x00              # Functional watchdog status 0
         0x80F7   0x00            0x7B 01111011b

[0.4000] 0x2E00 R 0x17 WWDSCMD    0x00              # Window watchdog service command
