#     ts mosi  r/w cmd      reg   data              comment
#        miso      cmd            data
[0.0000] 0x8756 W 0x03 PROTCFG    0xAB              # Protection register
         0x8756   0x03            0xAB 10101011b

[0.0000] 0x87DE W 0x03 PROTCFG    0xEF              # Protection register
         0x87DE   0x03            0xEF 11101111b

[0.0000] 0x86AD W 0x03 PROTCFG    0x56              # Protection register
         0x86AD   0x03            0x56 01010110b

[0.0000] 0x8625 W 0x03 PROTCFG    0x12              # Protection register
         0x8625   0x03            0x12 00010010b

[0.0000] 0x0C00 R 0x06 WDCFG0     0x00              # Protected Watchdog configuration request 0
         0x8020   0x00            0x10 00010000b

[0.0000] 0x0E01 R 0x07 WDCFG1     0x00              # Protected Watchdog configuration request 1
         0x81C3   0x00            0xE1 11100001b

[0.0000] 0x87BE W 0x03 PROTCFG    0xDF              # Protection register
         0x87BE   0x03            0xDF 11011111b

[0.0001] 0x8668 W 0x03 PROTCFG    0x34              # Protection register
         0x8668   0x03            0x34 00110100b

[0.0001] 0x877D W 0x03 PROTCFG    0xBE              # Protection register
         0x877D   0x03            0xBE 10111110b

[0.0001] 0x8795 W 0x03 PROTCFG    0xCA              # Protection register
         0x8795   0x03            0xCA 11001010b

[0.0001] 0x8756 W 0x03 PROTCFG    0xAB              # Protection register
         0x8756   0x03            0xAB 10101011b

[0.0001] 0x87DE W 0x03 PROTCFG    0xEF              # Protection register
         0x87DE   0x03            0xEF 11101111b

[0.0002] 0x86AD W 0x03 PROTCFG    0x56              # Protection register
         0x86AD   0x03            0x56 01010110b

[0.0002] 0x8625 W 0x03 PROTCFG    0x12              # Protection register
         0x8625   0x03            0x12 00010010b

[0.0002] 0x8E3C W 0x07 WDCFG1     0x1E              # Protected Watchdog configuration request 1
         0x8E3C   0x07            0x1E 00011110b

[0.0002] 0x8DDE W 0x06 WDCFG0     0xEF              # Protected Watchdog configuration request 0
         0x8DDE   0x06            0xEF 11101111b

[0.0002] 0x8A01 W 0x05 SYSPCFG1   0x00              # Protected System configuration request 1
         0x8A01   0x05            0x00 00000000b

[0.0002] 0x9009 W 0x08 FWDCFG     0x04              # Protected Functional watchdog configuration request 0
         0x9009   0x08            0x04 00000100b

[0.0002] 0x9201 W 0x09 WWDCFG0    0x00              # Protected Window watchdog configuration request 0
         0x9201   0x09            0x00 00000000b

[0.0002] 0x9402 W 0x0A WWDCFG1    0x01              # Protected Window watchdog configuration request 1
         0x9402   0x0A            0x01 00000001b

[0.0002] 0x87BE W 0x03 PROTCFG    0xDF              # Protection register
         0x87BE   0x03            0xDF 11011111b

[0.0002] 0x8668 W 0x03 PROTCFG    0x34              # Protection register
         0x8668   0x03            0x34 00110100b

[0.0002] 0x877D W 0x03 PROTCFG    0xBE              # Protection register
         0x877D   0x03            0xBE 10111110b

[0.0002] 0x8795 W 0x03 PROTCFG    0xCA              # Protection register
         0x8795   0x03            0xCA 11001010b

[0.0003] 0x2E00 R 0x17 WWDSCMD    0x00              # Window watchdog service command
         0x8001   0x00            0x00 00000000b

[0.0003] 0xAE02 W 0x17 WWDSCMD    0x01              # Window watchdog service command
         0xAE02   0x17            0x01 00000001b

